,num,PET,variation,category,orig_text,clean_text,char_count,word_count,text,label,euph_status
1708,1709,gaz çıkarmak,Gaz çıkarmak,bodily functions,toplanır. Bağırsakta gaz oluşmasının asıl nedeniyse kalın bağırsakta faaliyet gösteren mikroorganizmalardır. Gaz çıkarmak normal bir süreçtir fakat fazla gaz ise sindirim sitemindeki olağan bir probleme işaret eder. Mayo Klinik doktorları,toplanır bağırsakta gaz oluşmasının asıl nedeniyse kalın bağırsakta faaliyet gösteren mikroorganizmalardır gaz çıkarmak normal bir süreçtir fakat fazla gaz ise sindirim sitemindeki olağan bir probleme işaret eder mayo klinik doktorları,238,30,toplanır. Bağırsakta gaz oluşmasının asıl nedeniyse kalın bağırsakta faaliyet gösteren mikroorganizmalardır. [PET_BOUNDARY]Gaz çıkarmak[PET_BOUNDARY] normal bir süreçtir fakat fazla gaz ise sindirim sitemindeki olağan bir probleme işaret eder. Mayo Klinik doktorları,1,sometimes_euph
1714,1715,aramızdan ayrıldı,aramızdan ayrıldığında,death,önce adalet sağlansın. Önce hak edene hakkı teslim edilsin.. Ha birde unutmadan şunu da belirteyim.. Aziz Yıldırım aramızdan ayrıldığında yeni sezona ne ad vereceğiz doğrusu çok merak ediyorum... ERTUNGA COLAK 7 yıl önce süleyman Seba severler buna itiraz,önce adalet sağlansın önce hak edene hakkı teslim edilsin ha birde unutmadan şunu da belirteyim aziz yıldırım aramızdan ayrıldığında yeni sezona ne ad vereceğiz doğrusu çok merak ediyorum ertunga colak  yıl önce süleyman seba severler buna itiraz,255,38,önce adalet sağlansın. Önce hak edene hakkı teslim edilsin.. Ha birde unutmadan şunu da belirteyim.. Aziz Yıldırım [PET_BOUNDARY]aramızdan ayrıldığında[PET_BOUNDARY] yeni sezona ne ad vereceğiz doğrusu çok merak ediyorum... ERTUNGA COLAK 7 yıl önce süleyman Seba severler buna itiraz,0,sometimes_euph
1684,1685,gaz çıkarmak,gaz çıkarmak,bodily functions,sağlıklı olduğuna dair bir işaret olarak kabul edilebilir. Ancak bazı zamanlarda aşırı yoğun olan sürekli gaz çıkarmak vücuttaki bazı şeylerin düzgün çalışmadığını gösterir. Aşırı gaz çıkarma ve şişkinlik hissinin altında yatan,sağlıklı olduğuna dair bir işaret olarak kabul edilebilir ancak bazı zamanlarda aşırı yoğun olan sürekli gaz çıkarmak vücuttaki bazı şeylerin düzgün çalışmadığını gösterir aşırı gaz çıkarma ve şişkinlik hissinin altında yatan,227,31,sağlıklı olduğuna dair bir işaret olarak kabul edilebilir. Ancak bazı zamanlarda aşırı yoğun olan sürekli [PET_BOUNDARY]gaz çıkarmak[PET_BOUNDARY] vücuttaki bazı şeylerin düzgün çalışmadığını gösterir. Aşırı gaz çıkarma ve şişkinlik hissinin altında yatan,1,sometimes_euph
1125,1126,aybaşı,Aybaşı,bodily functions,". "" Zamlar ortalığı kasıp kavuruyor. Paradan altı sıfır atıldı ama, piyasa canavar olmuş, cepte para bırakmıyor. Aybaşı ve ay sonu hesapları birbirini tutmuyor. Devletin ""dış ticaret açığı"" gibi açık, her ay büyüyor. Dost soruyor: ""On",zamlar ortalığı kasıp kavuruyor paradan altı sıfır atıldı ama piyasa canavar olmuş cepte para bırakmıyor aybaşı ve ay sonu hesapları birbirini tutmuyor devletin dış ticaret açığı gibi açık her ay büyüyor dost soruyor on,234,36,". "" Zamlar ortalığı kasıp kavuruyor. Paradan altı sıfır atıldı ama, piyasa canavar olmuş, cepte para bırakmıyor. [PET_BOUNDARY]Aybaşı[PET_BOUNDARY] ve ay sonu hesapları birbirini tutmuyor. Devletin ""dış ticaret açığı"" gibi açık, her ay büyüyor. Dost soruyor: ""On",0,sometimes_euph
1734,1735,üç harfli,üç harfli,misc.,"esnafımıza yeni borçlar yüklediniz, pandemiyi yeni borçlarla geçiştirmeye çalışıyorsunuz. Hipermarketlere -o üç harfli süper marketlere- sürekli ayrıcalıklar tanıyorsunuz ama aynı ayrıcalıkları bakkallara, nalburlara,",esnafımıza yeni borçlar yüklediniz pandemiyi yeni borçlarla geçiştirmeye çalışıyorsunuz hipermarketlere o üç harfli süper marketlere sürekli ayrıcalıklar tanıyorsunuz ama aynı ayrıcalıkları bakkallara nalburlara,217,23,"esnafımıza yeni borçlar yüklediniz, pandemiyi yeni borçlarla geçiştirmeye çalışıyorsunuz. Hipermarketlere -o [PET_BOUNDARY]üç harfli[PET_BOUNDARY] süper marketlere- sürekli ayrıcalıklar tanıyorsunuz ama aynı ayrıcalıkları bakkallara, nalburlara,",0,sometimes_euph
1470,1471,muayyen günü,muayyen günleri,bodily functions,"başı? Manga başı. Aybaşı iple mi çekilir? Onu memur ve işçilere sormalı. Nedir aybaşı? Çalışanların ve bayanların muayyen günleri garip bir tesadüf. Asır başı, dinozorlara mı özgü? Kuşbaşı, et oburların aşkı,vejetaryenlerin korkulu rüyası mı?",başı manga başı aybaşı iple mi çekilir onu memur ve işçilere sormalı nedir aybaşı çalışanların ve bayanların muayyen günleri garip bir tesadüf asır başı dinozorlara mı özgü kuşbaşı et oburların aşkıvejetaryenlerin korkulu rüyası mı,242,34,"başı? Manga başı. Aybaşı iple mi çekilir? Onu memur ve işçilere sormalı. Nedir aybaşı? Çalışanların ve bayanların [PET_BOUNDARY]muayyen günleri[PET_BOUNDARY] garip bir tesadüf. Asır başı, dinozorlara mı özgü? Kuşbaşı, et oburların aşkı,vejetaryenlerin korkulu rüyası mı?",1,sometimes_euph
1129,1130,aybaşı,aybaşı,bodily functions,"ilk aybaşına kadar geçen bir aydan eksik sürelerden Emekli Sandığı kesintisi yapılmadığını, buna karşın sonraki aybaşı gelmeden görevden ayrılanlarda ise Emekli Sandığı kesintisinin tam bir aylık yapıldığını dolayısıyla 20.06.2013'",ilk aybaşına kadar geçen bir aydan eksik sürelerden emekli sandığı kesintisi yapılmadığını buna karşın sonraki aybaşı gelmeden görevden ayrılanlarda ise emekli sandığı kesintisinin tam bir aylık yapıldığını dolayısıyla,231,29,"ilk aybaşına kadar geçen bir aydan eksik sürelerden Emekli Sandığı kesintisi yapılmadığını, buna karşın sonraki [PET_BOUNDARY]aybaşı[PET_BOUNDARY] gelmeden görevden ayrılanlarda ise Emekli Sandığı kesintisinin tam bir aylık yapıldığını dolayısıyla 20.06.2013'",0,sometimes_euph
1284,1285,hamileliği sonlandırmak,hamileliği sonlandırma,death,gebeliğinin sonlandırılması için eşlerinin onayı gereklidir. Gebenin ve eşinin kimlik ibrazından sonra <hamileliği sonlandırma> işlemi ile ilgili bir onam belgesinin imzalanmasından sonra işleme başlanır. Kadının evli olması ve sevgilisinden,gebeliğinin sonlandırılması için eşlerinin onayı gereklidir gebenin ve eşinin kimlik ibrazından sonra  işlemi ile ilgili bir onam belgesinin imzalanmasından sonra işleme başlanır kadının evli olması ve sevgilisinden,241,29,gebeliğinin sonlandırılması için eşlerinin onayı gereklidir. Gebenin ve eşinin kimlik ibrazından sonra [PET_BOUNDARY]hamileliği sonlandırma[PET_BOUNDARY] işlemi ile ilgili bir onam belgesinin imzalanmasından sonra işleme başlanır. Kadının evli olması ve sevgilisinden,1,sometimes_euph
1002,1003,madde,madde,substances,"441644	Günümüzde gençler için risk faktörleri olarak “madde kullanımı”, “intihar” ve “zararlı teknoloji kullanımı” belirtilmektedir.","	günümüzde gençler için risk faktörleri olarakmadde kullanımı”,intihar” vezararlı teknoloji kullanımı” belirtilmektedir.",120,11,"441644        Günümüzde gençler için risk faktörleri olarak “[PET_BOUNDARY]madde[PET_BOUNDARY] kullanımı”, “intihar” ve “zararlı teknoloji kullanımı” belirtilmektedir.",1,sometimes_euph
1154,1155,aybaşı,aybaşı,bodily functions,"veya yarım dinar,[11] altın parayı bir fakire tasadduk etmesi gerekir. Bir hadiste şöyle buyurulur: ""Bir erkek eşine aybaşı halinde yaklaştığında, eğer aybaşı kanı kırmızı ise bir dinar, sarı ise yarım dinar altını sadaka olarak versin. "" [12",veya yarım dinar altın parayı bir fakire tasadduk etmesi gerekir bir hadiste şöyle buyurulur bir erkek eşine aybaşı halinde yaklaştığında eğer aybaşı kanı kırmızı ise bir dinar sarı ise yarım dinar altını sadaka olarak versin,242,37,"veya yarım dinar,[11] altın parayı bir fakire tasadduk etmesi gerekir. Bir hadiste şöyle buyurulur: ""Bir erkek eşine [PET_BOUNDARY]aybaşı[PET_BOUNDARY] halinde yaklaştığında, eğer aybaşı kanı kırmızı ise bir dinar, sarı ise yarım dinar altını sadaka olarak versin. "" [12",1,sometimes_euph
450,451,hayata gözlerini yummak,hayata gözlerini yuman,death,"2011 yılının Aralık ayında hayata gözlerini yuman Kim Jong-il için başkent Pyongyang’da yaptırılan heykelin değişimi kafa karışıklığı yarattı. İlk olarak üzerinde ceket bulunan heykel için ‘parka’nın daha uygun bir seçim olduğu düşünülüyor. Heykelin ilginç değişimini ise Japonya’daki bir haber ajansı tarafından çekilen 2 fotoğrafta anlamak mümkün oluyor. Etiketler: haber , haberler ,","2011 yılının aralık ayında hayata gözlerini yuman kim jong-il için başkent pyongyang’da yaptırılan heykelin değişimi kafa karışıklığı yarattı. i̇lk olarak üzerinde ceket bulunan heykel için ‘parka’nın daha uygun bir seçim olduğu düşünülüyor. heykelin ilginç değişimini ise japonya’daki bir haber ajansı tarafından çekilen 2 fotoğrafta anlamak mümkün oluyor. etiketler: haber , haberler ,",387,52,"2011 yılının Aralık ayında [PET_BOUNDARY]hayata gözlerini yuman[PET_BOUNDARY] Kim Jong - il için başkent Pyongyang’da yaptırılan heykelin değişimi kafa karışıklığı yarattı. İlk olarak üzerinde ceket bulunan heykel için ‘parka’nın daha uygun bir seçim olduğu düşünülüyor. Heykelin ilginç değişimini ise Japonya’daki bir haber ajansı tarafından çekilen 2 fotoğrafta anlamak mümkün oluyor. Etiketler: haber , haberler ,",1,always_euph
41,42,aybaşı,aybaşı,bodily functions,"""Bu personelin emekli keseneğine esas aylığı , iştirakçi olduğu  tarihi izleyen aybaşı olan 01.04.1987 tarihi itibariyle 18 yaşının dolumundan sonra 25.06.1978  - 02.02.1980 tarihleri arasındaki sigortalı olarak geçen 1 yıl 7 ay 7  gün , 03.03.1987 - 01.04.1987 tarihleri arasında aday memur olarak geçen 28  gün olmak üzere , toplam 1 yıl 8 ay 5 günlük hizmeti  değerlendirilmeye tabi tutularak ortaokul mezunlarının göreve giriş derecesi olan 14 / 2’den  14 / 3’e yükseltilecek bu derece ve kademede de 8 ay 5  gün kıdemli sayılacaktır .""","""bu personelin emekli keseneğine esas aylığı iştirakçi olduğu  tarihi izleyen aybaşı olan tarihi itibariyle  yaşının dolumundan sonra  tarihleri arasındaki sigortalı olarak geçen  yıl  ay   gün tarihleri arasında aday memur olarak geçen   gün olmakzere toplam  yıl  ay  günlük hizmeti  değerlendirilmeye tabi tutularak ortaokul mezunlarının göreve giriş derecesi olan den  e yükseltilecek bu derece ve kademede de  ay   gün kıdemli sayılacaktır",444,59,"""Bu personelin emekli keseneğine esas aylığı, iştirakçi olduğu  tarihi izleyen [PET_BOUNDARY]aybaşı[PET_BOUNDARY] olan 01.04.1987 tarihi itibariyle 18 yaşının dolumundan sonra 25.06.1978  - 02.02.1980 tarihleri arasındaki sigortalı olarak geçen 1 yıl 7 ay 7  gün, 03.03.1987 - 01.04.1987 tarihleri arasında aday memur olarak geçen 28  gün olmak üzere, toplam 1 yıl 8 ay 5 günlük hizmeti  değerlendirilmeye tabi tutularak ortaokul mezunlarının göreve giriş derecesi olan 14 / 2’den  14 / 3’e yükseltilecek bu derece ve kademede de 8 ay 5  gün kıdemli sayılacaktır.""",0,sometimes_euph
2042,2043,gidici,gidiciydi,death,"güç sıralamaları değişmeli diyordum vazgeçtim. Kusursuz ayarlanmış. 2.nin ölmesi dışında pek bir şey olmadı, zaten gidiciydi o. Yeni bölümü merakla bekliyorum. Güzel bir bölümdü. Koskoca Hueco Mundo kralı'nı Hacchigen tek başına yenmiş oldu.",güç sıralamaları değişmeli diyordum vazgeçtim kusursuz ayarlanmış nin ölmesi dışında pek bir şey olmadı zaten gidiciydi o yeni bölümü merakla bekliyorum güzel bir bölümdü koskoca hueco mundo kralını hacchigen tek başına yenmiş oldu,241,33,"güç sıralamaları değişmeli diyordum vazgeçtim. Kusursuz ayarlanmış. 2.nin ölmesi dışında pek bir şey olmadı, zaten [PET_BOUNDARY]gidiciydi[PET_BOUNDARY] o. Yeni bölümü merakla bekliyorum. Güzel bir bölümdü. Koskoca Hueco Mundo kralı'nı Hacchigen tek başına yenmiş oldu.",1,sometimes_euph
977,978,göğüs,göğüsler,physical/mental attributes,"795013	Sertleşme sonucu göğüs uçları da gerginleştiği için, bebek meme ucunu yakalayamaz ve anneden süt alamaz, göğüsler de üretim artmış olmasına rağmen bebek aç kalmaktadır.","	sertleşme sonucu göğüs uçları da gerginleştiği için, bebek meme ucunu yakalayamaz ve anneden süt alamaz, göğüsler deretim artmış olmasına rağmen bebek aç kalmaktadır.",167,23,"795013	Sertleşme sonucu göğüs uçları da gerginleştiği için, bebek meme ucunu yakalayamaz ve anneden süt alamaz, [PET_BOUNDARY]göğüsler[PET_BOUNDARY] de üretim artmış olmasına rağmen bebek aç kalmaktadır.",1,sometimes_euph
1128,1129,aybaşı,aybaşı,bodily functions,aylık talep tarihi itibari ile borçsuz olması sağlanması halinde kendilerine aylık talep tarihini takip eden aybaşı itibarıyla yaşlılık aylığı bağlanması gerekmektedir. Bugüne kadar sigortalıları mağdur eden bir uygulamanın,aylık talep tarihi itibari ile borçsuz olması sağlanması halinde kendilerine aylık talep tarihini takip eden aybaşı itibarıyla yaşlılık aylığı bağlanması gerekmektedir bugüne kadar sigortalıları mağdur eden bir uygulamanın,223,28,aylık talep tarihi itibari ile borçsuz olması sağlanması halinde kendilerine aylık talep tarihini takip eden [PET_BOUNDARY]aybaşı[PET_BOUNDARY] itibarıyla yaşlılık aylığı bağlanması gerekmektedir. Bugüne kadar sigortalıları mağdur eden bir uygulamanın,0,sometimes_euph
830,831,vefat etmek,vefat etti,death,"Devrimci Sosyalist İşçi Partisi Genel Başkanı (DSİP) Doğan Tarkan kalp krizi nedeniye 65 yaşında vefat etti. Tarkan, 12 Eylül 1980 Darbesi sonrası yurtdışına kaçmış, Sosyalist İşçi gazetesini yurtdışında çıkarmış ve bu gazete çevresi ile birlikte DSİP'i kurmuştu. Türkiye'ye döndükten sonra 1997 yılından itibaren de parti genel başkanlığı yapmaktaydı. Sosyalist İşçi ve Altüst dergilerinde güncel yazılar yazıyordu.","devrimci sosyalist i̇şçi partisi genel başkanı (dsi̇p) doğan tarkan kalp krizi nedeniye 65 yaşında vefat etti. tarkan, 12 eylül 1980 darbesi sonrası yurtdışına kaçmış, sosyalist i̇şçi gazetesini yurtdışında çıkarmış ve bu gazete çevresi ile birlikte dsi̇p'i kurmuştu. türkiye'ye döndükten sonra 1997 yılından itibaren de parti genel başkanlığı yapmaktaydı. sosyalist i̇şçi ve altüst dergilerinde güncel yazılar yazıyordu.",421,56,"Devrimci Sosyalist İşçi Partisi Genel Başkanı (DSİP) Doğan Tarkan kalp krizi nedeniye 65 yaşında [PET_BOUNDARY]vefat etti[PET_BOUNDARY]. Tarkan, 12 Eylül 1980 Darbesi sonrası yurtdışına kaçmış, Sosyalist İşçi gazetesini yurtdışında çıkarmış ve bu gazete çevresi ile birlikte DSİP'i kurmuştu. Türkiye'ye döndükten sonra 1997 yılından itibaren de parti genel başkanlığı yapmaktaydı. Sosyalist İşçi ve Altüst dergilerinde güncel yazılar yazıyordu.",1,always_euph
