,Unnamed: 0,PET,literal translation,euphemistic meanings,category,label,text,source,contains_boundary_tokens,euph_status
997,997,bá sùn,sleep with,sex,Sexual Activity,1,"Lati le dena bi won se n lo awon omo nilokulo, paapaa awon omo obinrin tojo ori won kere ti won maa n fipa [PET_BOUNDARY][PET_BOUNDARY] bá[PET_BOUNDARY] sùn [PET_BOUNDARY] n , ...",http://www.alaroyeonline.com/searchi.php,1,sometimes_euph
1253,1253,la,lick,sex,Sexual Activity,1,Ki NI obo Li [PET_BOUNDARY]la[PET_BOUNDARY] ma se ni Ara obirin,https://www.facebook.com/search/posts?q=obo%20lila,1,sometimes_euph
234,234,arákùnrin,your brother/a man,penis,Bodily Functions/Parts,0,O fikun un pe [PET_BOUNDARY]arákùnrin[PET_BOUNDARY] Emeka Okoro ti wọn ṣekọlu si n ṣagbatẹru awọn alatilẹyin Tinubu tii kii sẹ ọmọ ilu amọ ti wọn wa lati okeere.,bbc,1,sometimes_euph
672,672,erin wo,the elephant has fallen,death,Death,1,[PET_BOUNDARY]erin wo[PET_BOUNDARY] ! Mọ̀ síi nípa gbogbo ètò tí wọ́n ti là kalẹ̀ nípa ètò ìsìnkú Pope Benedict,https://www.facebook.com/bbcnewsyoruba/posts/6085714248151898/?paipv=0&eav=AfavPYxCzDehwgwafMDrhVYfIyWGCbol3zZe9XXHAEChDaIs6iQk-3Q9OSN5nI008F8&_rdr,1,sometimes_euph
56,56,nǹkan oṣù,thing of the month,menstruation,Bodily Functions/Parts,1,"Oriṣiiriṣii eewọ nipa [PET_BOUNDARY]n[PET_BOUNDARY] ǹkan oṣù[PET_BOUNDARY] [PET_BOUNDARY] obinrin lawọn eeyan maa n sọ, ọkan lara rẹ ni pe ti ọkunrin ba ni ibalopọ pẹlu obinrin to n se n[PET_BOUNDARY] [PET_BOUNDARY]nkan oṣu[PET_BOUNDARY] [PET_BOUNDARY] lọwọ, iru ọkunrin bẹẹ yoo ko arun lara ibalopọ.",bbc,1,always_euph
2224,2224,Ibasepo,relate with,sex,Sexual Activity,1,"Ejo eyin ara group yii, ta lo fe ka jo ma bara wa [PET_BOUNDARY]Ibasepo[PET_BOUNDARY] o",Iyanu,1,sometimes_euph
2471,2471,Ba sun,sleep with,sex,Sexual Activity,1,O ni oun ma [PET_BOUNDARY]ba mi sun[PET_BOUNDARY],Iyanu,1,always_euph
1726,1726,afofun gbe mu,has swallowed the lungs,insult,Social,1,oponu [PET_BOUNDARY]afofun gbemu[PET_BOUNDARY] oni'fun boto..,"https://www.gistmania.com/talk/topic,70866.80.html",1,always_euph
2179,2179,Iho,hole,vagina,Bodily Functions/Parts,1,Wọn maa n ṣe eyi nipa gige idọ ati labia kuro. Ti wọn si ṣa ba maa n ran an pada lati le mu ki [PET_BOUNDARY]Iho[PET_BOUNDARY] o oju ara o kere si.,https://www.bbc.com/yoruba/afrika-50873930,1,always_euph
1716,1716,jedi,buttocks eater,Diarrhea,Bodily Functions/Parts,1,"Ekasan gbogbo ile, molayo latiso fun ile pe, eniti obani nilo agb [PET_BOUNDARY]jedi[PET_BOUNDARY] di, agunmu ale, [PET_BOUNDARY]nkan osu[PET_BOUNDARY] tiko wa Dede abi tio duro, agbo infection tabi arun ibalopo, tabi obi obirin tio ni idaduro, kio kan simi pelu ase Olohun yio di ohun igbagbe. Aya wa onidi aya alaya oo Amin.",https://www.facebook.com/search/top?q=agbo%20jedi,1,always_euph
2439,2439,Ere,play,sex,Sexual Activity,0,"Ọna iwe kọ nikan lọna ti akẹkọ le gba doke, [PET_BOUNDARY]Ere[PET_BOUNDARY] e idaraya naa dara""",https://www.bbc.com/yoruba/articles/c040e2371zlo,1,sometimes_euph
2048,2048,Alejo,visitor,menstruation,bodily function,1,"Mi o jade mo, mo ri [PET_BOUNDARY]Alejo[PET_BOUNDARY] o mi. Mo fe sun.",Iyanu,1,sometimes_euph
1042,1042,pa,kill,sex,Sexual Activity,1,Okunrin yen do mi [PET_BOUNDARY]pa[PET_BOUNDARY],,1,sometimes_euph
1030,1030,lò,use,sex,Sexual Activity,1,Bí ó bá ṣe obìnrin [PET_BOUNDARY]lò[PET_BOUNDARY] fi agídí mú ọ̀kùnrin bá a lò pọ̀ ńkọ́?,,1,sometimes_euph
1516,1516,iyá,mother,Elders of the Night,Spirituality,1,"Àwọn [PET_BOUNDARY]iyá[PET_BOUNDARY] mi, Ogbón féfé làjé tifá Mòràn amójù n lajèé òpèlè Ká wemi wemi láláì pá won lórí N làjé àwon eja",,1,sometimes_euph
1863,1863,Aarun ko gbo oogun,the disease that has no cure,HIV/AIDS,Physical/Mental Attributes,1,Arun buburu ni [PET_BOUNDARY]Aarun ko gbo oogun[PET_BOUNDARY],,1,always_euph
1538,1538,Bàbá,father,Elders of the Night,Spirituality,1,"Ìbà [PET_BOUNDARY]Bàbá[PET_BOUNDARY] , Ìbà Yèyé, Ìbà Olúwo, Ìbà Ojùgbọ̀nà, Ìbà Ipárìpá adáṣọ-mámǔ ìró Ìbà ẹ̀yin ìsòrò-ọ̀run Ìbà ará Ilè. Ẹ jẹ́ a gbó ẹ jẹ́ a tọ́! A júbà kí’bà ṣẹ",https://twitter.com/animolenikun/status/1483721625379999744?lang=en,1,sometimes_euph
2028,2028,Alejo,visitor,menstruation,bodily function,0,Makinde ni yoo gb [PET_BOUNDARY]Alejo[PET_BOUNDARY] ayẹyẹ ti ajọ Yoruba Agbaye fẹẹ ṣe f’Olubadan,alaroye.org,1,sometimes_euph
2451,2451,Arákùnrin,your brother/a man,penis,Bodily Functions/Parts,0,"Ogun Asegbe todajuTi Eniyan Ba Je Ojogbon Gidi, O Ye Ki O Ni Oogun Aforan Tabi Asegbe Gidi Lowo. Nitori Oogun Aforan Tabi Asegbe Ma Nsise Osole Tabi Awure Ni Aimoye Igba. Onibara Mi Kan Lo Wa Sodo Mi , O So Wipe Oun Ko Owo Kan Je, Won Si Fe Lee Oun Nibi Ise, O Wa So Wipe Won Ko Gbudo Lee Oun Oo ! Nitori Oun Ni Baba Ni Igbejo. Mo Wa Rerin, Mo Mo Wipe A [PET_BOUNDARY]Arákùnrin[PET_BOUNDARY] i Arakunrin Yen Sugbon Mo Se Ise Naa Fun Lataara Wipe Mo Fe Ki O Mo Wipe Looto Ni Oogun Wa Ti O Si Nje Bi Ti Atijo",facebook.com,1,sometimes_euph
1378,1378,ro efo fun,make vegetable soup for him,bewitched someone,,0,[PET_BOUNDARY]ro efo[PET_BOUNDARY] riro [PET_BOUNDARY] fun [PET_BOUNDARY] mi je,,1,sometimes_euph
1625,1625,alo kí olóhun ó kígbe.,someone who uses something so that the owner can cry out,a thief,Social,1,"Ibadan ti o jale, Oju lonro, Ibadan omo ajorosun, [PET_BOUNDARY]alo koloun kigbe[PET_BOUNDARY]",http://onigegewura.blogspot.com/2018/07/ibadan-and-witty-sayings.html?m=1,1,always_euph
1813,1813,Ru igi oyin,carried the honey tree,Euphemisms used for one who is in trouble,Social,1,Òṣìṣẹ́ tó tú àṣírí ilé asòfin [PET_BOUNDARY]rugi oyin[PET_BOUNDARY],https://www.bbc.com/yoruba/52956595,1,always_euph
1969,1969,pa,kill,sex,Sexual Activity,1,Omo yen fe [PET_BOUNDARY]pa[PET_BOUNDARY] mi oo.,https://www.azlyrics.com/lyrics/mohbad/komajensun.html,1,sometimes_euph
1824,1824,fi aake ko ori,entangle the head with an axe,Euphemism used for one who has refused apologies,Social,1,Oba [PET_BOUNDARY]fi ake kori[PET_BOUNDARY] (Wonma do) Oun se kan osu ofun lori (Wonma do) To ba wun e ko lo magun (Wonma do) Wa fun doggy a la gun (Wonma do) O ba ma tete cum,Wonma by Olamide - Lyrics.lol,1,always_euph
1226,1226,je,eat,sex,Sexual Activity,1,[PET_BOUNDARY]je[PET_BOUNDARY] kin ma je ise e loju pali.,,1,sometimes_euph
2093,2093,Nkan omo okunrin,the thing of a man,penis,Bodily Functions/Parts,1,O wadii pe awọn ikoko ọkunrin ti ara wọn ba ni nkan ṣe pẹlu phthalates ninu oyun maa n ni awọn nkan to rọ mọ [PET_BOUNDARY]nkan ọmọkunrin[PET_BOUNDARY] kukuru.,https://www.bbc.com/yoruba/afrika-56520003,1,always_euph
1234,1234,je,eat,sex,Sexual Activity,0,"Oun [PET_BOUNDARY]je[PET_BOUNDARY] jijẹ jẹ ọrẹ ara, amọ jijẹ idin ninu burẹdi jẹ ohun to so si ni lẹnu, to si bu iyọ si.",,1,sometimes_euph
1788,1788,gbe ebo koja orita,carried the prepared sacrifice beyond where it is meant to be placed,a presumptuous fellow,Social,1,Olori o̩ ba ti [PET_BOUNDARY]gbe ebo koja orita[PET_BOUNDARY] orita,a pragmatic analysis of selected yoruba euphemisms,1,always_euph
1285,1285,la,lick,sex,Sexual Activity,0,se ni omo yen n [PET_BOUNDARY]la[PET_BOUNDARY] sugar la tori tabili,,1,sometimes_euph
493,493,iyá ìbèjì,mother of twins,pregnant woman,Physical/Mental Attributes,0,"Loju oja ilu Iwo, [PET_BOUNDARY]iyá ìbèjì[PET_BOUNDARY] i te pepe oro, o salaye bi nnkan ko se senuure latigba ti owo osu awon osise ijoba ti bere si i se segesege.",http://www.alaroyeonline.com/articles_image/8895.pdf,1,sometimes_euph
1031,1031,lò,use,sex,Sexual Activity,1,o [PET_BOUNDARY]lò[PET_BOUNDARY] ̀ mi pupo,,1,sometimes_euph
1611,1611,alo kí olóhun ó kígbe.,someone who uses something so that the owner can cry out,a thief,Social,1,"Inu ẹwọn ọhun ni wọn ti pade, ni wọn ba di ọrẹ ojiji, wọn si pinnu lati da ikọ adigunjale tiwọn silẹ bi wọn ba ti jade. Bi wọn si ti gba ominira ni 2020 naa ni wọn bẹrẹ iṣẹ [PET_BOUNDARY]alọkolohun kigbe[PET_BOUNDARY] ọhun pada, to fi di pe wọn tun ko sọwọ lẹẹkeji. Ibọn ilewọ ibilẹ kan ati ọta ibọn ti wọn ko ti i yin lawọn ọlọpaa ba lọwọ wọn.",https://alaroye.org/adigunjale-metadinlogun-ha-sowo-olopaa-lekoo-ibon-meta-ati-opolopo-oogun-ni-won-gba-lowo-won/,1,always_euph
543,543,Ojù ara,the eye of the body of a woman,vagina,Bodily Functions/Parts,1,Ọkọ́ mi ko raye wọle [PET_BOUNDARY]Ojù ara[PET_BOUNDARY] a mi lati ja ibale mi lẹyin osu kan ta se igbeyawo – Obinrin to ni aisan Vaginismus,https://www.bbc.com/yoruba/articles/czk1jgm5122o,1,sometimes_euph
1150,1150,ìbálòpọ̀,relate with,sex,Sexual Activity,1,Arun BV yii kii fi bẹẹ ṣe eyi to le to bẹẹ ṣugbọn o dara ki eeyan ṣe itọju ara rẹ to ba ko o toripe o maa n dakun bi obinrin ṣe le tete ko awọn arun [PET_BOUNDARY]ìbálòpọ̀[PET_BOUNDARY] STD ati UTIs.,https://www.bbc.com/yoruba/awon-iroyin-miran-53918101,1,sometimes_euph
2544,2544,Jáde láyé,left the earth,death,Death,1,to si jẹ pe ibẹ lo gba [PET_BOUNDARY]Jáde láyé[PET_BOUNDARY] .,https://www.bbc.com/yoruba/,1,always_euph
2575,2575,Papoda,changed position,death,Death,1,"Bakan naa ninu oṣu kejila ọdun 2019, iroyin mii ti lu gbogbo ori ayelujara pa wi pe Babangi [PET_BOUNDARY]Papoda[PET_BOUNDARY] papoda. Agbẹnusọ rẹ, Kassim Afegbua lo jade sita ko si iku loju ọga oun o.",https://www.bbc.com/yoruba/,1,always_euph
2447,2447,Ere,play,sex,Sexual Activity,1,Wa si ile mi kajo s [PET_BOUNDARY]Ere[PET_BOUNDARY] ife,facebook.com,1,sometimes_euph
964,964,jáde láyé,left the earth,death,Death,1,"Ọjọ Isẹgun, ọjọ kẹtala osu Kejila ọdun 2022 ni Yemi Ade [PET_BOUNDARY]jáde láyé[PET_BOUNDARY] e laye, ti ọpọ awọn osere tiata lede Yoruba si ti n se idaro rẹ, paapaa lawọn oju opo ayelujara wọn. Loju opo Instagram rẹ, gbajugbaja osere tiata kan, Odunlade Adekola lo kọkọ kede oku oloogbe naa, to si ni ko sun re.",,1,always_euph
227,227,arákùnrin,your brother/a man,penis,Bodily Functions/Parts,0,GBOGBO EYIN OMO NIGERIA [PET_BOUNDARY]arákùnrin[PET_BOUNDARY] RIN TO PE ARARE NI IGBAKEJI OLOHUN,https://www.facebook.com/groups/3012921705587035/user/100052042786700/,1,sometimes_euph
137,137,kòkòrò,insect,penis,Bodily Functions/Parts,0,"Vibrio Vulnificus, ti wọn tun n pe ni [PET_BOUNDARY]kòkòrò[PET_BOUNDARY] o ajẹranara, ma n mu eeyan lẹyin ti kokoro aifoju ri naa ba wọ ara lati oju egbo.",https://www.bbc.com/yoruba/media-51266027,1,sometimes_euph
14,14,Àlejò,guest,menstruation,Bodily Functions/Parts,0,". 10 Bayi li Oluwa Ọlọrun wi; emi o si ṣe ki ọ̀pọlọpọ enia Egipti ki o ti ipa ọwọ́ Nebukaddressari ọba Babiloni dínkù. 11 On ati enia rẹ̀ pẹlu rẹ̀, ẹ̀ru awọn orilẹ-ède, li a o mu wá pa ilẹ na run: nwọn o si fà idà wọn yọ si Egipti, nwọn o si fi awọn ti a pa kún ilẹ na. 12 Emi o mu gbogbo odò wọn gbẹ, emi o si tà ilẹ na si ọwọ́ awọn enia buburu; [PET_BOUNDARY]Àlejò[PET_BOUNDARY] o si ti ipa ọwọ́ awọn alejo sọ ilẹ wọn di ahoro, ati ẹkún rẹ̀: Emi Oluwa li o ti sọ ọ. 13 Bayi li Oluwa Ọlọrun wi; emi o pa awọn oriṣa run pẹlu, emi o si jẹ ki ere wọn tán ni Nofi; kì yio si si ọmọ alade kan ni ilẹ Egipti mọ́: emi o si fi ẹ̀ru si ilẹ Egipti. 14 Emi o si sọ Patrosi di ahoro, emi o si gbe iná kalẹ ni Soani, emi o si mu idajọ ṣẹ ni No. 15 Emi o si dà irúnu mi si ori",http://gospelgo.com/f/yoruba_bible.htm,1,sometimes_euph
591,591,rin ìrìn àjò,has gone on a journey,death,Death,0,Ààrẹ Buhari Muhammadu tú ti [PET_BOUNDARY]rin ìrìn àjò[PET_BOUNDARY] ọlọ́jọ́ mẹ́rin lọ sí Daura ní ìpínlẹ̀ Katsina tó jẹ́ ìlú abínibi rẹ̀.,https://www.bbc.com/yoruba/media-55865111,1,sometimes_euph
1199,1199,ajosepo,mutual dealings,sex,Sexual Activity,0,"Gege bi [PET_BOUNDARY]ajosepo[PET_BOUNDARY] re pelu Pasuma, awon eniyan gba wi pe boya Pasuma lo n jasi awon asa tuntun naa . Sugbon omokunrin naa ti salaye bi oro se ri gan.",http://www.olayemioniroyin.com/2014_06_01_archive.html,1,sometimes_euph
1073,1073,do,punch or touch,sex,Sexual Activity,1,Emin na le [PET_BOUNDARY]do[PET_BOUNDARY] obo dada obinrin ti emin re ba gbe ko inbox mi pada,https://www.facebook.com/groups/152142266886959,1,sometimes_euph
