,Unnamed: 0,PET,literal translation,euphemistic meanings,category,label,text,source,contains_boundary_tokens,euph_status
763,763,dágbéré fún ayé,bid the world good bye,death,Death,1,"Erin wo, Akinwunmi Ishola [PET_BOUNDARY]dagbere f'aye[PET_BOUNDARY]",https://www.bbc.com/yoruba/afrika-43097315,1,always_euph
414,414,àyà or igbaya,chest,breast,Bodily Functions/Parts,1,"Jejere omu le waye nigbati idagbasoke sẹẹli laarin [PET_BOUNDARY]igbaya[PET_BOUNDARY] di ohun ajeji, ti nfa pipin awọn sẹẹli ati idilọwọ tuntun, awọn sẹẹli ilera lati dagbasoke. Ni ayika 1 ni awọn obinrin 8 yoo pade diẹ ninu fọọmu ti [PET_BOUNDARY] igbaya [PET_BOUNDARY] akàn ni igbesi aye wọn, ti o jẹ ki o jẹ iru akàn ti o wọpọ julọ ni awọn obinrin kariaye. Awọn ọkunrin tun le dagbasoke akàn [PET_BOUNDARY] igbaya [PET_BOUNDARY], botilẹjẹpe eyi jẹ toje.",https://www.mozocare.com/yo/it%E1%BB%8Dju/itoju-it%E1%BB%8Dju-%E1%BB%8Dgb%E1%BA%B9-igbaya,1,sometimes_euph
231,231,arákùnrin,your brother/a man,penis,Bodily Functions/Parts,0,"Ajọ to n gbogun ti iwa ibajẹ nilẹ yii, EFCC ti mu [PET_BOUNDARY]arákùnrin[PET_BOUNDARY] n ẹni ọdun marunlelọgọta kan, Musa Shuaib, fẹsun pe o n gbe ọpọlọpọ pasu igbo kiri lagbegbe Adewọle, niluu Ilọrin, ti i ṣe olu ilu ipinlẹ Kwara.",https://alaroye.org/efcc-ti-mu-shuaib-opolopo-igbo-ni-won-ba-lowo-e-nilorin/,1,sometimes_euph
317,317,abẹ,beneath,vagina,Bodily Functions/Parts,1,so mo iwulo irun [PET_BOUNDARY]abẹ[PET_BOUNDARY] obinrin,bbc,1,sometimes_euph
849,849,ta téru ní ìpá,kick the bucket,death,Death,1,"Amọ adura yii ko gba rara fun idile ẹlẹni mẹjọ kan labule Auki, nijsba ibilẹ Bungudu nipinlẹ Zamfara. Eyi ri bẹẹ nigba ti awọn eeyan meje ninu idile naa [PET_BOUNDARY]ta teru nipa[PET_BOUNDARY] lẹyin ti wọn jẹun alẹ tan ni alẹ ọjọ Ẹti.",https://www.bbc.com/yoruba/agbaye-43848381,1,always_euph
2400,2400,Ere,play,sex,Sexual Activity,1,Ninu ki okunrin mo [PET_BOUNDARY]Ere[PET_BOUNDARY] se,facebook.com,1,sometimes_euph
1220,1220,ajosepo,mutual dealings,sex,Sexual Activity,0,"Arakurin Ahmadu Tito, Akowe agba fun ijoba so wipe: Awon Musulumi n ko ipa topo ninu Ilu been [PET_BOUNDARY]ajosepo[PET_BOUNDARY] po won pelu ijoba Togo mu ina doko.",http://www.onislam.net/english/onislam-africa/yoruba/463888-musulumi-orileede-togo-aseyori-to-daju.html,1,sometimes_euph
5,5,Àlejò,guest,menstruation,Bodily Functions/Parts,0,"ọwọ́-ẹran rẹ, nwọn o jẹ àjara rẹ ati igi ọ̀pọtọ rẹ, nwọn o fi idà sọ ilu olodi rẹ ti iwọ gbẹkẹle di ahoro. 18 Ṣugbọn li ọjọ wọnnì, li Oluwa wi, emi kì yio ṣe iparun nyin patapata. 19 Yio si ṣe, nigbati ẹnyin o wipe: Ẽṣe ti Oluwa Ọlọrun wa fi ṣe gbogbo ohun wọnyi si wa? nigbana ni iwọ o da wọn lohùn: Gẹgẹ bi ẹnyin ti kọ̀ mi, ti ẹnyin si nsìn ọlọrun ajeji ni ilẹ ny [PET_BOUNDARY]Àlejò[PET_BOUNDARY] ẹ̃ni ẹnyin o sin alejo ni ilẹ ti kì iṣe ti nyin.",http://gospelgo.com/f/yoruba_bible.htm,1,sometimes_euph
2122,2122,Itura,relief,orgasm,Bodily Functions/Parts,0,Ijọba gbe agadagodo ti gbogbo ilẹkun ile [PET_BOUNDARY]Itura[PET_BOUNDARY] Cosmila Hotel and Suites ni ilu Awka Ìpínlẹ̀ Anambra lẹyin ti wọn fi ẹsun kan awọn ọkunrin kan pe wọn lu arabinrin Chinyere Awuda titi doju iku pẹlu iranlọwọ mọnija ile itura naa.,https://www.bbc.com/yoruba/articles/cd1g2v28g13o,1,sometimes_euph
17,17,Àlejò,guest,menstruation,Bodily Functions/Parts,0,", yio si yọ́ wọn bi wurà on fadakà, ki nwọn ki o le mu ọrẹ ododo wá fun Oluwa. 4 Nigbana ni ọrẹ Juda ati ti Jerusalemu yio wù Oluwa, gẹgẹ bi ti ọjọ igbãni, ati gẹgẹ bi ọdun atijọ. 5 Emi o si sunmọ nyin fun idajọ, emi o si ṣe ẹlẹri yiyara si awọn oṣó, ati si awọn panṣaga, ati si awọn abura eké, ati awọn ti o ni alagbaṣe lara ninu ọyà rẹ̀, ati opo, ati alainibaba, [PET_BOUNDARY]Àlejò[PET_BOUNDARY] si ẹniti o nrẹ́ alejo jẹ, ti nwọn kò si bẹ̀ru mi, li Oluwa awọn ọmọ-ogun wi.",http://gospelgo.com/f/yoruba_bible.htm,1,sometimes_euph
1901,1901,ayé,earth,witch/wizard,Spirituality,1,"Olorun m’aje k’ [PET_BOUNDARY]ayé[PET_BOUNDARY] rerin wa, idojuti nla, Bayern na Barcelona lalubami, Messi o rowo mu",https://twitter.com/OyedeleDammie/status/1294893201468391424,1,sometimes_euph
2250,2250,Ajosepo,relate with,sex,Sexual Activity,1,Kosi bi Ala dura Se Mo Adura Gba To. Tio Ba ni [PET_BOUNDARY]Ajosepo[PET_BOUNDARY] o ni Oju orun.,facebook.com,1,sometimes_euph
1951,1951,Àkàrà tu sépo,bean cake scattered in hot palm oil,the secret has leaked,Social,1,"[PET_BOUNDARY]Akara tu s'épo[PET_BOUNDARY] 'jamba s'olé, onilé taji...O gb'amumòra, iso inu ęku gb'amumòra...",facebook.com,1,sometimes_euph
643,643,olóògbé,a doser,death,Death,1,"Ninu atẹjade ti agbẹnusọ gomina ipinlẹ Ekiti, Yinkan Oyebode fi lede, o n [PET_BOUNDARY]olóògbé[PET_BOUNDARY] be naa jade laye lẹyin ti ọkan rẹ ṣadede kọṣẹ.",https://www.bbc.com/yoruba/articles/cqe7mjrjy80o,1,always_euph
2310,2310,La,lick/suck,sex,Sexual Activity,1,monife si obo Li [PET_BOUNDARY]La[PET_BOUNDARY],facebook.com,1,sometimes_euph
901,901,dakẹ́,is quiet,death,Death,1,"E sara giri, baba ti [PET_BOUNDARY]dakẹ́[PET_BOUNDARY] e.",,1,sometimes_euph
376,376,abẹ,beneath,vagina,Bodily Functions/Parts,0,Sòbòrò la bí ìgbín kò fi [PET_BOUNDARY]abẹ[PET_BOUNDARY] kan ara.,http://yo.wikipedia.org/wiki/Ọba Ìrágbìjí,1,sometimes_euph
2319,2319,La,lick/suck,sex,Sexual Activity,1,Ta lo fe [PET_BOUNDARY]La[PET_BOUNDARY] mi pa,facebook.com,1,sometimes_euph
29,29,Àlejò,guest,menstruation,Bodily Functions/Parts,0,"Ẹnyin ti sọ okú nyin di pupọ̀ ni ilu yi, ẹnyin si ti fi okú kún igboro rẹ̀, 7 Nitorina bayi li Oluwa Ọlọrun wi, Awọn okú nyin ti ẹnyin ti tẹ́ si ãrin rẹ̀, awọn ni ẹran, ilu yi si ni ìgba; ṣugbọn emi o mu nyin jade kuro lãrin rẹ̀. 8 Oluwa Ọlọrun wipe, Ẹnyin ti bẹ̀ru idà, emi o si mu idà wa sori nyin. 9 Emi o si mu nyin kuro lãrin rẹ̀, e [PET_BOUNDARY]Àlejò[PET_BOUNDARY] si fi nyin le awọn alejo lọwọ, emi o si mu idajọ ṣẹ si nyin lara. 10 Nipa idà li ẹnyin o ṣubu; emi o ṣe idajọ nyin li agbegbe Israeli; ẹnyin o si mọ̀ pe emi li Oluwa. 11 Ilu yi ki yio ṣe ìgba fun nyin, bẹ̃ni ẹnyin kì yio jẹ ẹran lãrin rẹ̀; ṣugbọn emi o ṣe idajọ nyin li agbegbe Israeli. 12 Ẹnyin o si mọ̀ pe emi li Oluwa: nitoriti ẹnyin kò rìn ninu aṣẹ mi, bẹ̃ni ẹnyin kò mu idajọ mi ṣẹ, ṣugbọn ẹnyin ti hu ìwa",http://gospelgo.com/f/yoruba_bible.htm,1,sometimes_euph
2225,2225,Ajosepo,relate with,sex,Sexual Activity,1,Kajo ni [PET_BOUNDARY]Ajosepo[PET_BOUNDARY] 😂,facebook.com,1,sometimes_euph
180,180,iho,hole,vagina,Bodily Functions/Parts,0,Ni igba miran àìdá àpẹẹrẹ le ṣee wa-ri ani ni ikore [PET_BOUNDARY]iho[PET_BOUNDARY] ho kan lori eso kabeeji pẹlu dudu egbegbe.,http://www.vegetable-gardens.biz/yo/head/to-cabbage-is-sick-in-the-cellar.html,1,sometimes_euph
810,810,teri gba aso,bury the head in a cloth,death,Death,1,O [PET_BOUNDARY]teri gba aso[PET_BOUNDARY],https://www.cambridgenigeriapub.com/wp-content/uploads/2021/06/SJHSS_Vol19_No6_March_2021-13.pdf,1,always_euph
900,900,dakẹ́,is quiet,death,Death,1,Inu irora yii ni Obìnrin náà wa titi ti o [PET_BOUNDARY]dakẹ́[PET_BOUNDARY] áke,a pragmatic analysis of selected yoruba euphemisms,1,sometimes_euph
2159,2159,Abe,under,vagina,Bodily Functions/Parts,1,"To ba pọn dandan fun ọ lati fa irun [PET_BOUNDARY]Abe[PET_BOUNDARY] rẹ, lo bileedi to mọ, ki o si fa a lati isalẹ nitori ki kokoro ma ba so mọ iyoku irun to wa nibẹ.",https://www.bbc.com/yoruba/agbaye-56470677?at_custom1=%5Bpost+type%5D&at_campaign=64&at_custom3=BBC+News+Yoruba&at_custom4=88AC2548-8A4A-11EB-A034-C92716F31EAE&at_custom2=facebook_page&at_medium=custom7&fbclid=IwAR2piw1BiAfC9I8yn4FTPxL7UJq0IhvA43B93mMDM052-D36nmKx3qbxlX8,1,sometimes_euph
890,890,wàjà,climb the roof,death,Death,1,Oba ilu oyo ti [PET_BOUNDARY]wàjà[PET_BOUNDARY],,1,always_euph
997,997,bá sùn,sleep with,sex,Sexual Activity,1,"Lati le dena bi won se n lo awon omo nilokulo, paapaa awon omo obinrin tojo ori won kere ti won maa n fipa [PET_BOUNDARY][PET_BOUNDARY] bá[PET_BOUNDARY] sùn [PET_BOUNDARY] n , ...",http://www.alaroyeonline.com/searchi.php,1,sometimes_euph
1638,1638,gbewiri,one who steals without being caught,a thief,Social,1,BBC Yoruba wa Yussuf Adekola kan lẹyin iroyin nipa rẹ pe awọn [PET_BOUNDARY]gbewiri[PET_BOUNDARY] gba ọkada tuntun to ṣẹṣẹ ra. Yussuf Adekola ṣalaye ohun ti oju rẹ ri lọjọ to gbe ero naa ti ko si mọ pe ole to fẹ gba ọkada tuntun ti oun ra ni.,https://alaroye.org/bawon-eleyii-ṣe-fibon-gba-okada-tan-lakute-ni-won-mu-won/,1,always_euph
470,470,iyá ìbèjì,mother of twins,pregnant woman,Physical/Mental Attributes,0,"Mama mi ko ranti nkankan mọ; koda, opẹlọpẹ Olorun ati itọju- O [PET_BOUNDARY]iyá ìbèjì[PET_BOUNDARY] eji.",https://www.bbc.com/yoruba/64314259,1,sometimes_euph
74,74,nǹkan oṣù,thing of the month,menstruation,Bodily Functions/Parts,1,"Ọkan lara awọn akẹkọọ naa sọ fun akọroyin BBC ti ilu Gujarati, Prashant Gupta pe ileegbe awọn akẹkọọ ni iwe akọsilẹ kan ti wọn gbudọ maa kọ orukọ wọn si bi wọn ba ti ri [PET_BOUNDARY][PET_BOUNDARY]nkan oṣu[PET_BOUNDARY][PET_BOUNDARY] wọn eyi si lo maa n ran awọn alaṣẹ ileewe lọwọ lati da wọn mọ.",bbc,1,always_euph
1718,1718,jedi,buttocks eater,Diarrhea,Bodily Functions/Parts,1,Agbo [PET_BOUNDARY]jedi[PET_BOUNDARY] Opa yin fun awa okunrin.,https://www.facebook.com/search/top?q=agbo%20jedi,1,always_euph
710,710,sun nínú olúwa,have slept in the lord,death,Death,1,Akoni Ogun ti lo [PET_BOUNDARY]sun nínú olúwa[PET_BOUNDARY] .,facebook,1,always_euph
619,619,pa ipò dá,changed position,death,Death,1,orò ìkẹyìn fún ọmọ ẹgbé ̣ọdẹ tí ó [PET_BOUNDARY]pa ipò dá[PET_BOUNDARY] à.,https://jupeb.edu.ng/past_questions/2021%20Yoruba.pdf,1,sometimes_euph
737,737,re wale asa,has joined the ancestors,death,Death,1,"Haa,o ma se,iku mu eni re lo,Woli Oluwatobiloba Adejoke Ewatomi Ajibulu ti [PET_BOUNDARY]re wale asa[PET_BOUNDARY] ,ma sun ko si ma sinmi laya olugbala,Afe o sugbon Kristi fe o juwa lo.",https://www.facebook.com/search/top/?q=rewale%20Asa.,1,always_euph
1218,1218,ajosepo,mutual dealings,sex,Sexual Activity,0,"Lati dekun aise deede yii, ninu apileko kan ti Adeniyi ka jade, ti o da lori ""Eto Ibanisoro Ninu Ijoba: Ire ati Ibi ti o wa ninu re"" nibi Eti igbohun soke sodo agbaye elekeji iru re ti ile ise Timex Communications se ni Abuja ni ojo Satide ti o koja so pe ijoba ti gbabgo pe o y [PET_BOUNDARY]ajosepo[PET_BOUNDARY] osepo ma wa laarin awon osise ijoba ati awon oniroyin lati le mu ki isejoba kese jari.",http://okikinewspapers.blogspot.cz/2009_04_01_archive.html,1,sometimes_euph
2487,2487,Wàjà,climb the roof,death,Death,1,"Sheikh Nawaf to [PET_BOUNDARY]Wàjà[PET_BOUNDARY] lẹni ọdun mẹrindinlaadọrun, ni wọn kede iku rẹ lọjọ Abamẹta.",https://www.bbc.com/yoruba/,1,always_euph
497,497,iyá ìbèjì,mother of twins,pregnant woman,Physical/Mental Attributes,0,Ó bí ọmọ méjì ṣùgbọ́n ayé kò jẹ́ k [PET_BOUNDARY]iyá ìbèjì[PET_BOUNDARY] ji jèrè wọn nítorí pé..... Aderonke ọmọ Iya Ibeji ọmọ araye le,https://www.bbc.com/yoruba/64314259,1,sometimes_euph
1119,1119,do,punch or touch,sex,Sexual Activity,0,"Nígbà tí wọn kọ́kọ́ dé, w [PET_BOUNDARY]do[PET_BOUNDARY] n do sí itòsí Olúmọ, olúkúlùkù ìlú sa ara wọn jọ, wọn do kiri Ẹ̀gbá Aké, Ẹ̀gbá òkè-ọnà àti Ẹ̀gbá Gbágùrá ló kọ́kọ́ dé sí Abẹ́òkúta.",http://yo.wikipedia.org/wiki/Abẹ́òkúta,1,sometimes_euph
2177,2177,Iho,hole,vagina,Bodily Functions/Parts,1,"Okunrin Nikan ni O ni Adura yi, [PET_BOUNDARY]Iho[PET_BOUNDARY] o Abe Obinrin Alagbara ti Ogo re ha si Pelu amin to Lagbara , Ina Oluwa ko gba Jade Loruko Jesu",facebook.com,1,always_euph
819,819,teri gba aso,bury the head in a cloth,death,Death,1,"AWỌN AṢIRI TẸ O MỌ NIPA DAN FOSTER, GBAJUMỌ SỌRỌSỌRỌ TO [PET_BOUNDARY]TẸRI-GBAṢỌ[PET_BOUNDARY]",https://www.awikonko.com.ng/2020/06/awon-asiri-te-o-mo-nipa-dan-foster.html,1,always_euph
1272,1272,la,lick,sex,Sexual Activity,1,Kilode ti o po Obinrin feran Li [PET_BOUNDARY]la[PET_BOUNDARY] siwaju Dido 🤔 ko faja rara nitori ise mi nii 😡,https://www.facebook.com/search/posts?q=obo%20lila,1,sometimes_euph
2063,2063,Epo,Oil,menstruation,Bodily Functions/Parts,1,obinrin to n s [PET_BOUNDARY]Epo[PET_BOUNDARY],iyanu,1,sometimes_euph
2035,2035,Alejo,visitor,menstruation,bodily function,1,"AGUNMU FUN OBINRIN TI KO BIMO RI,TABI TI OYUN BA NWALE LARA RE TI YO FI DURO----a o wa ewe akika gbigbe,ewe erugale gbigbe,ewe ahon ekun,alubosa elewe a o sa ti yo gbe,ewe papasan,ewe jinwini gbigbe,a o lo la eepo osan to ni eso Lori,taba juku,a o sa ti yo gbe daadaa,iye iye elentu,a o gun gbo re papo ninu odo daadaa,ti obinrin na ba ti pa [PET_BOUNDARY]Alejo[PET_BOUNDARY] ejo re yo mo fi fo eko tutu mu ni alaale,yo si ri wipe oun sunmo oko re daadaa,ni agbara olohun, obinrin na ko ni mu osu na je,danwo ko fun ile labo",https://www.facebook.com/groups/593739120735875/posts/792984464144672/,1,sometimes_euph
208,208,iho,hole,vagina,Bodily Functions/Parts,0,"O si mu ọ̀kọ mẹta lọwọ rẹ̀, o si fi wọn gun Absalomu li ọkàn, nigbati o si wà lãye li agbedemeji igi pọ́nhan na. 15 Awọn ọdọmọdekunrin mẹwa ti ima ru ihamọra Joabu si yi Absalomu ka, nwọn si kọlù u, nwọn si pa a. 16 Joabu si fún ipè, awọn enia na si yipada ati mã lepa Israeli: nitori Joabu ti pe awọn enia na pada. 17 Nwọn si gbe Absalo [PET_BOUNDARY]iho[PET_BOUNDARY] nwọn si sọ ọ sinu iho nla kan ni igbogàn na, nwọn si papó okuta pupọ jọ si i lori, gbogbo Israeli si sa, olukuluku si inu agọ rẹ̀. 18 Absalomu li ọjọ aiye rẹ̀ si mu, o si mọ ọwọ̀n kan fun ara rẹ̀, ti mbẹ li afonifoji ọba: nitoriti o wipe, Emi kò ni ọmọkunrin ti yio pa orukọ mi mọ ni iranti: on si pe ọwọ̀n na nipa orukọ rẹ̀: a si npè e titi di oni, ni ọwọ̀n Absalomu.",http://gospelgo.com/f/yoruba_bible.htm,1,sometimes_euph
1260,1260,la,lick,sex,Sexual Activity,1,"Arewa obinrin to nka post yi, se l [PET_BOUNDARY]la[PET_BOUNDARY] a 👅 niwo fe ni abi finger 🖕",https://www.facebook.com/search/posts?q=obo%20lila,1,sometimes_euph
240,240,arákùnrin,your brother/a man,penis,Bodily Functions/Parts,0,"Bakan naa, ni ọjọ Iṣẹgun, Tusidee, ni awọn afurasi to jẹ ẹlẹgbẹ AbdulGaniy ti wọn pa lọọ gbesan iku ọkan ninu wọn yii, ti wọn si [PET_BOUNDARY]arákùnrin[PET_BOUNDARY] nrin kan ti wọn n pe ni Adebayọ Yitta, nidii ofi to ti n hun aṣọ. Awọn tọrọ naa ṣoju wọn sọ pe lẹyin ti wọn yin Adebayọ nibọn tan ni wọn tun n ṣa a ladaa titi ti ẹmi fi bọ lara rẹ.",https://alaroye.org/nidii-a%e1%b9%a3o-ofi-ti-adebayo-n-hun-lawon-omo-egbe-okunkun-pa-a-si-nilorin/,1,sometimes_euph
1419,1419,ìṣekúṣe,inappropriate actions,sex,Sexual Activity,0,Ma [PET_BOUNDARY]sesekuse[PET_BOUNDARY] pelu ounje ti mo se. Gbe sile ti o ba fe je,iyanu,1,sometimes_euph
1515,1515,iyá,mother,Elders of the Night,Spirituality,1,Awon [PET_BOUNDARY]iyá[PET_BOUNDARY] Mi Aje,,1,sometimes_euph
1362,1362,iranu,rubbish,sex,Sexual Activity,0,"“Awọn o [PET_BOUNDARY]iranu[PET_BOUNDARY] u yii naa ni wọn lọọ gbọna ẹyin wọnu imeeli (email) mi, ti wọn si n sọ pe mo ti ku. Kin ni wọn tun fẹ kẹni ti wọn sọ pe o ti ku tun fọwọ si oloṣelu fun?” Bẹẹ ni Ṣoyinka sọ.",https://alaroye.org/isokuso-oro-ni-pe-mo-ti-fowo-si-tinubu-lati-dupo-aare-wole-%e1%b9%a3oyinka/,1,sometimes_euph
2068,2068,Nkan omo okunrin,the thing of a man,penis,Bodily Functions/Parts,1,"Eku dede asiko yi eyin eniyan mi. Bi e ba n'fe itanju awọn arun kan sí méjì bi kokoro inu eje ti awọn oyinbo npe ni staphylococcus, eje riru bi ogun ogbe inu ti oyinbo npe ni ulcer, aile se dede, ki [PET_BOUNDARY]nkan omokunrin[PET_BOUNDARY] kéré sí ọjọ ori, ito suga, ọpa eyin, ibadi riro ati bebelo. Odun Titun làwá yi, eje ki a tanju ara wa lasiko. ",facebook.com,1,always_euph
2000,2000,pa,kill,sex,Sexual Activity,0,"Ori 🙆🙆🙆 Eledaa mi eni ti w [PET_BOUNDARY]pa[PET_BOUNDARY] npa Atewo fun nimi mase mi ni eni tio maa pa Atewo fun egbee re oooo,",facebook.com,1,sometimes_euph
1960,1960,ọmọ òrukàn,orphan,polite usage of orphan,Social,1,"Nígbà tí alàgbà mìíràn ń sọ̀rọ̀ nípa ìrírí ti ara rẹ̀ nínú pípèsè fún àw [PET_BOUNDARY]ọmọ òrukàn[PET_BOUNDARY] kàn àtàwọn opó, ó sọ pé: “Mo gbà pé àwọn ọmọ òrukàn nílò ìfẹ́ Kristẹni gan-an ju àwọn opó lọ.",https://wol.jw.org/yo/wol/d/r36/lp-yr/2001452,1,always_euph
1826,1826,fi aake ko ori,entangle the head with an axe,Euphemism used for one who has refused apologies,Social,1,"Shakira exam ti tan, o [PET_BOUNDARY]fi ake kori[PET_BOUNDARY] oni ohun o lole mo.","Olamidé on Twitter: ""Mad ! RT @Itz_AbdulQudus: Shakira ...",1,always_euph
1966,1966,ọmọ òrukàn,orphan,polite usage of orphan,Social,1,Àwọn [PET_BOUNDARY]ọmọ òrukàn[PET_BOUNDARY] wọ̀nyí ní ìmọ̀lára ìyárí àti ìsopọ̀ títún-dánilójú àwọn ẹbí wọ́ọ̀dù wọn láti mọ̀ pé wọn kò dá wà àti pé Ọlọ́run wà níbẹ̀ fún wa nígbàgbogbo.,https://www.churchofjesuschrist.org/study/general-conference/2021/10/29stevenson?lang=yor,1,always_euph
1344,1344,iranu,rubbish,sex,Sexual Activity,1,On [PET_BOUNDARY]iranu[PET_BOUNDARY] ni bobo yen,,1,sometimes_euph
340,340,abẹ,beneath,vagina,Bodily Functions/Parts,0,Ika ti o ba si n dun ni a ki i fibo [PET_BOUNDARY]abẹ[PET_BOUNDARY] aso.,http://www.olayemioniroyin.com/2012_08_01_archive.html,1,sometimes_euph
2038,2038,Alejo,visitor,menstruation,bodily function,0,"Ninu Fidio naa ni Bobrisky ti ni ""@kingwasiuayindemarshal yoo wa nikalẹ lati kọrin fun awọ [PET_BOUNDARY]Alejo[PET_BOUNDARY] jo mi lasiko ayẹyẹ ọjọ ibi ọgbọn ọdun mi.''",https://www.bbc.com/yoruba/afrika-58283019,1,sometimes_euph
972,972,jáde láyé,left the earth,death,Death,1,"Eni adorun odun (90 years) nii se, ki [PET_BOUNDARY]jáde láyé[PET_BOUNDARY] e laye .",http://www.anti-el7ad.com/site/play-13188.html,1,always_euph
1242,1242,je,eat,sex,Sexual Activity,0,"Awọn ara orilẹede Iran, Afghanistan ati Iraq ko fi oju abo àgbò sere rara ati ọpọlọ rẹ. Gbogbo rẹ ni [PET_BOUNDARY]je[PET_BOUNDARY] jẹ fun wọn.",https://www.bbc.com/yoruba/agbaye-49463854,1,sometimes_euph
367,367,abẹ,beneath,vagina,Bodily Functions/Parts,0,"Àrà kengé! Alábòyun ṣe iṣẹ [PET_BOUNDARY]abẹ[PET_BOUNDARY] bẹ pẹ̀lú abẹfẹ́lẹ́, ó gbé ọmọ jádé nínú ara a rẹ̀",bbc,1,sometimes_euph
2539,2539,Jáde láyé,left the earth,death,Death,1,Nigba to n sọrọ nipa ala to ni ki Mohbad to [PET_BOUNDARY]Jáde láyé[PET_BOUNDARY] .,https://www.bbc.com/yoruba/,1,always_euph
2205,2205,Ibasepo,relate with,sex,Sexual Activity,0,"Nigba ti o un tẹsiwaju ninu ọrọ rẹ Kafiat ni, ""lati ọdun mẹrinla ta ti ń gbe pọ bi lọkọ laya ko ti san owo ori mi,Iya baba mi nikan lo mọ nip [PET_BOUNDARY]Ibasepo[PET_BOUNDARY] po wa,mo bímọ fun tan kí baba mi to jade laye to mọ "".",bbc.com/yoruba,1,sometimes_euph
